specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Dolichoderus_sibiricus_OKENT0105315_processed.obj,antenna,362,0.013700097799301147,0.041044509410858146,0.12626908719539642,0.04069202020764351
Dolichoderus_sibiricus_OKENT0105315_processed.obj,mandible,379,0.0075584109872579575,0.015649161115288704,0.1279691755771637,0.0285051167011261
Dolichoderus_sibiricus_OKENT0105315_processed.obj,leg,3887,0.006331305019557476,0.01778812557458877,0.18309089541435242,0.020165499299764633
Dolichoderus_sibiricus_OKENT0105315_processed.obj,leg_distal,822,0.009256447665393353,0.024863292928785072,0.1866542547941208,0.0294345673173666
Dolichoderus_sibiricus_OKENT0105316_processed.obj,body,2611,0.004651919007301331,0.011304171290248632,0.1499418467283249,0.019122743979096413
Dolichoderus_sibiricus_OKENT0105316_processed.obj,head,2174,0.0016845398349687457,0.005411075358279038,0.01887286826968193,0.009099308401346207
Dolichoderus_sibiricus_OKENT0105316_processed.obj,antenna,362,0.00526965968310833,0.012154020462185144,0.04290474206209183,0.01575370691716671
Dolichoderus_sibiricus_OKENT0105316_processed.obj,mandible,379,0.007918404415249825,0.01906423848122357,0.03882871940732002,0.02297757752239704
Dolichoderus_sibiricus_OKENT0105316_processed.obj,leg,3887,0.0058783600106835365,0.014280368201434605,0.1719750463962555,0.018502438440918922
Dolichoderus_sibiricus_OKENT0105316_processed.obj,leg_distal,822,0.005183507688343525,0.01324159018695354,0.12826986610889435,0.016256460919976234
Dorylus_afrc-gh01_CASENT0744686_processed.obj,body,2611,0.0030788343865424395,0.0069521632976830006,0.13567090034484863,0.021517273038625717
Dorylus_afrc-gh01_CASENT0744686_processed.obj,head,2174,0.001941555179655552,0.005966786062344904,0.0200286116451025,0.014884148724377155
Dorylus_afrc-gh01_CASENT0744686_processed.obj,antenna,362,0.004084782674908638,0.010156273376196621,0.029563892632722855,0.015336304903030396
Dorylus_afrc-gh01_CASENT0744686_processed.obj,mandible,379,0.0026208634953945875,0.006595057575032113,0.04205342382192612,0.017924031242728233
Dorylus_afrc-gh01_CASENT0744686_processed.obj,leg,3887,0.002399611985310912,0.0054557524155825375,0.07794450223445892,0.013708882965147495
Dorylus_afrc-gh01_CASENT0744686_processed.obj,leg_distal,822,0.0032435928005725145,0.00851877257227897,0.017270280048251152,0.01169214304536581
Dorylus_afrc-gh01_CASENT0744687_processed.obj,body,2611,0.0050800880417227745,0.013735574204474688,0.22190649807453156,0.023849347606301308
Dorylus_afrc-gh01_CASENT0744687_processed.obj,head,2174,0.003188757924363017,0.010088211763650169,0.022314196452498436,0.016191985458135605
Dorylus_afrc-gh01_CASENT0744687_processed.obj,antenna,362,0.0038207934703677893,0.00870328452438116,0.0215083546936512,0.015257171355187893
Dorylus_afrc-gh01_CASENT0744687_processed.obj,mandible,379,0.003265311708673835,0.008617998007684943,0.042575858533382416,0.020260008051991463
Dorylus_afrc-gh01_CASENT0744687_processed.obj,leg,3887,0.003597597125917673,0.008397338446229695,0.15446870028972626,0.01563846878707409
Dorylus_afrc-gh01_CASENT0744687_processed.obj,leg_distal,822,0.0038954175543040037,0.010753050865605471,0.10103228688240051,0.01295544859021902
Dorylus_afrc-gh01_CASENT0744689_processed.obj,body,2611,0.005254743155092001,0.013599379919469357,0.16986317932605743,0.02120436169207096
