specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Prionopelta_antillana_CASENT0744466_processed.obj,body,2611,0.002634885720908642,0.005964746233075857,0.03413514792919159,0.0194594394415617
Prionopelta_antillana_CASENT0744466_processed.obj,head,2174,0.0016147153219208121,0.003976417798548936,0.015759645029902458,0.013131369836628437
Prionopelta_antillana_CASENT0744466_processed.obj,antenna,362,0.003419852117076516,0.007458442077040672,0.0163681972771883,0.011011777445673943
Prionopelta_antillana_CASENT0744466_processed.obj,mandible,379,0.00236589927226305,0.006858486216515285,0.04578594118356705,0.015108744613826275
Prionopelta_antillana_CASENT0744466_processed.obj,leg,3887,0.0034010419622063637,0.009701510705053795,0.13248562812805176,0.01395504456013441
Prionopelta_antillana_CASENT0744466_processed.obj,leg_distal,822,0.002759248949587345,0.0065598763525485946,0.0215347558259964,0.010616522282361984
Prionopelta_antillana_CASENT0744467_processed.obj,body,2611,0.003863852471113205,0.009560656268149614,0.10176722705364227,0.02173803560435772
Prionopelta_antillana_CASENT0744467_processed.obj,head,2174,0.0022627427242696285,0.006418222654610872,0.044132817536592484,0.011882415972650051
Prionopelta_antillana_CASENT0744467_processed.obj,antenna,362,0.012396151199936867,0.04525963254272937,0.19294290244579315,0.028691856190562248
Prionopelta_antillana_CASENT0744467_processed.obj,mandible,379,0.011890662834048271,0.027163694426417313,0.11830000579357147,0.031921278685331345
Prionopelta_antillana_CASENT0744467_processed.obj,leg,3887,0.0030858428217470646,0.007017885008826852,0.10759761184453964,0.015195135027170181
Prionopelta_antillana_CASENT0744467_processed.obj,leg_distal,822,0.004261118359863758,0.01164485081098973,0.050439413636922836,0.014352605678141117
Prionopelta_subtilis_CASENT0840863-D4_processed.obj,body,2611,0.006466301158070564,0.01588324923068285,0.3364008367061615,0.02487853541970253
Prionopelta_subtilis_CASENT0840863-D4_processed.obj,head,2174,0.0027581118047237396,0.006793787819333373,0.024508966132998466,0.017623038962483406
Prionopelta_subtilis_CASENT0840863-D4_processed.obj,antenna,362,0.005174664314836264,0.011529621109366416,0.018952561542391777,0.014806541614234447
Prionopelta_subtilis_CASENT0840863-D4_processed.obj,mandible,379,0.0032723245676606894,0.008690630551427589,0.053560707718133926,0.019924893975257874
Prionopelta_subtilis_CASENT0840863-D4_processed.obj,leg,3887,0.003211269387975335,0.00748184467665851,0.10506755113601685,0.0147927301004529
Prionopelta_subtilis_CASENT0840863-D4_processed.obj,leg_distal,822,0.006096783094108105,0.018287464976310723,0.10562168061733246,0.017961492761969566
Pristomyrmex_afric-tz01_CASENT0744866_processed.obj,body,2611,0.005409791599959135,0.016001824289560318,0.1394912153482437,0.02576623298227787
Pristomyrmex_afric-tz01_CASENT0744866_processed.obj,head,2174,0.0032180617563426495,0.00863701202906668,0.07050411403179169,0.021518338471651077
Pristomyrmex_afric-tz01_CASENT0744866_processed.obj,antenna,362,0.006397767458111048,0.01337588345631957,0.039990127086639404,0.023902226239442825
Pristomyrmex_afric-tz01_CASENT0744866_processed.obj,mandible,379,0.006312384735792875,0.015064195450395345,0.05689695104956627,0.030967073515057564
Pristomyrmex_afric-tz01_CASENT0744866_processed.obj,leg,3887,0.005887414328753948,0.015495279990136621,0.24759486317634583,0.02280668169260025
Pristomyrmex_afric-tz01_CASENT0744866_processed.obj,leg_distal,822,0.008407884277403355,0.028766372986137826,0.17937912046909332,0.02674037776887417
Pristomyrmex_brevispinosus_OKENT0105259_processed.obj,body,2611,0.005079524125903845,0.013647128827869892,0.04154655709862709,0.024908166378736496
Pristomyrmex_brevispinosus_OKENT0105259_processed.obj,head,2174,0.0029977578669786453,0.008367099566385141,0.10493166744709015,0.016070442274212837
Pristomyrmex_brevispinosus_OKENT0105259_processed.obj,antenna,362,0.017743492498993874,0.06545415073633191,0.1493954360485077,0.04471583291888237
Pristomyrmex_brevispinosus_OKENT0105259_processed.obj,mandible,379,0.01302515808492899,0.02884168270975349,0.12619493901729584,0.03860480710864067
Pristomyrmex_brevispinosus_OKENT0105259_processed.obj,leg,3887,0.007248548325151205,0.01815676186233758,0.2485639601945877,0.024289768189191818
Pristomyrmex_brevispinosus_OKENT0105259_processed.obj,leg_distal,822,0.008852338418364525,0.028709344007074828,0.14207938313484192,0.0296481940895319
Pristomyrmex_brevispinosus_OKENT0105260_processed.obj,body,2611,0.0056585329584777355,0.01472640736028552,0.21247108280658722,0.02782900631427765
Pristomyrmex_brevispinosus_OKENT0105260_processed.obj,head,2174,0.004881505388766527,0.013555594487115739,0.12708145380020142,0.026906099170446396
Pristomyrmex_brevispinosus_OKENT0105260_processed.obj,antenna,362,0.01406875904649496,0.03861536737531423,0.21889452636241913,0.04154129698872566
Pristomyrmex_brevispinosus_OKENT0105260_processed.obj,mandible,379,0.012194424867630005,0.03302040621638294,0.17634668946266174,0.04557271674275398
Pristomyrmex_brevispinosus_OKENT0105260_processed.obj,leg,3887,0.007891549728810787,0.02224418427795171,0.21569640934467316,0.02847144566476345
Pristomyrmex_brevispinosus_OKENT0105260_processed.obj,leg_distal,822,0.010096225887537003,0.036853450536727894,0.12086977809667587,0.034199561923742294
Pristomyrmex_cribrarius_CASENT0744867_processed.obj,body,2611,0.0054238345474004745,0.014199590776115656,0.1663345843553543,0.025471827015280724
Pristomyrmex_cribrarius_CASENT0744867_processed.obj,head,2174,0.005137546453624964,0.01630736971274018,0.044738415628671646,0.02059684880077839
Pristomyrmex_cribrarius_CASENT0744867_processed.obj,antenna,362,0.01267198659479618,0.03589003235101698,0.11075989902019501,0.038477975875139236
Pristomyrmex_cribrarius_CASENT0744867_processed.obj,mandible,379,0.007412309758365154,0.018259173445403568,0.04805838689208031,0.03524722903966904
Pristomyrmex_cribrarius_CASENT0744867_processed.obj,leg,3887,0.006044797133654356,0.01485430495813489,0.19676950573921204,0.022145604714751244
Pristomyrmex_cribrarius_CASENT0744867_processed.obj,leg_distal,822,0.010051676072180271,0.03438730333000419,0.16514292359352112,0.028865154832601547
Pristomyrmex_cribrarius_CASENT0744868_processed.obj,body,2611,0.00613272562623024,0.019031315110623837,0.12958499789237976,0.022702306509017944
