condition,magnitude_target_deg,specimen,achieved_err_all_deg,achieved_err_proximal_deg,achieved_err_distal_deg,donor_or_seed
coherent,30.0,synth_005,32.7306880646409,32.7306880646409,0.0,0
coherent,30.0,synth_006,31.620362006472018,31.620362006472018,0.0,0
coherent,30.0,synth_007,31.00021271166139,31.00021271166139,0.0,0
coherent,30.0,synth_008,28.359724755009225,28.359724755009225,0.0,0
coherent,30.0,synth_009,27.973879548878006,27.973879548878006,0.0,0
coherent,30.0,synth_010,33.03451067432403,33.03451067432403,0.0,0
coherent,30.0,synth_011,24.18322294856114,24.18322294856114,0.0,0
swap,,synth_000,27.913620498445297,30.038112693362766,25.789128303527832,synth_008
swap,,synth_001,26.673746705055237,27.03609914249844,26.311394267612034,synth_006
swap,,synth_002,28.69448121388753,31.889657232496475,25.49930519527859,synth_006
swap,,synth_003,30.905477709240383,33.319911056094696,28.491044362386067,synth_002
swap,,synth_004,29.437181843651665,31.0246545208825,27.84970916642083,synth_001
swap,,synth_005,27.73441990216573,28.063952975802952,27.40488682852851,synth_010
swap,,synth_006,26.673746705055237,27.03609914249844,26.311394267612034,synth_001
swap,,synth_007,29.36211567454868,29.514496432410347,29.20973491668701,synth_010
swap,,synth_008,27.913620498445297,30.038112693362766,25.789128303527832,synth_000
swap,,synth_009,32.718181901507904,32.848915312025284,32.58744849099053,synth_004
swap,,synth_010,27.73441990216573,28.063952975802952,27.40488682852851,synth_005
swap,,synth_011,29.52374874220954,30.527148564656574,28.520348919762505,synth_001
mirror,,synth_000,33.39814675649007,37.909257888793945,26.63148005803426,
mirror,,synth_001,27.75405797958374,30.860657056172688,23.094159364700317,
mirror,,synth_002,30.560532315572104,28.531756930881077,33.60369539260864,
mirror,,synth_003,36.03375345865886,39.59663645426432,30.689428965250652,
mirror,,synth_004,29.52851939201355,30.77530789375305,27.658336639404297,
mirror,,synth_005,37.76667486826579,33.474075847201874,44.205573399861656,
mirror,,synth_006,37.32667903900146,39.8107787238227,33.600529511769615,
mirror,,synth_007,29.19653976758321,26.906923214594524,32.630964597066246,
mirror,,synth_008,35.055298773447674,31.591528839535183,40.250953674316406,
mirror,,synth_009,42.216379992167155,39.40045091840956,46.44027360280355,
mirror,,synth_010,32.04935474395752,30.958870887756348,33.68508052825928,
mirror,,synth_011,33.48582026163737,33.38671271006266,33.63448158899943,
