iteration,specimen,k,n_touched,coverage_fraction
23,Solenopsis_invicta_CASENT0744384_processed,2,592,0.05787466838955879
23,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2979,0.29123079776763916
23,Acromyrmex_coronatus_CASENT0744365_processed,3,3351,0.3275980055332184
23,Solenopsis_invicta_CASENT0744384_processed,3,769,0.07517841458320618
23,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4093,0.4001368582248688
23,Acromyrmex_coronatus_CASENT0744365_processed,5,4367,0.4269234538078308
23,Solenopsis_invicta_CASENT0744384_processed,5,1131,0.11056799441576004
24,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2419,0.23648449778556824
24,Acromyrmex_coronatus_CASENT0744365_processed,2,2772,0.2709942162036896
24,Solenopsis_invicta_CASENT0744384_processed,2,617,0.06031870096921921
24,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2986,0.2919151484966278
24,Acromyrmex_coronatus_CASENT0744365_processed,3,3312,0.32378530502319336
24,Solenopsis_invicta_CASENT0744384_processed,3,815,0.07967542856931686
24,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4089,0.3997458219528198
24,Acromyrmex_coronatus_CASENT0744365_processed,5,4325,0.4228174686431885
24,Solenopsis_invicta_CASENT0744384_processed,5,1196,0.11692247539758682
25,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2442,0.23873300850391388
25,Acromyrmex_coronatus_CASENT0744365_processed,2,2726,0.2664971947669983
25,Solenopsis_invicta_CASENT0744384_processed,2,633,0.061882879585027695
25,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3003,0.29357707500457764
25,Acromyrmex_coronatus_CASENT0744365_processed,3,3242,0.316942036151886
25,Solenopsis_invicta_CASENT0744384_processed,3,836,0.08172842115163803
25,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4043,0.39524880051612854
25,Acromyrmex_coronatus_CASENT0744365_processed,5,4209,0.4114771783351898
25,Solenopsis_invicta_CASENT0744384_processed,5,1233,0.12053964287042618
26,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2493,0.24371883273124695
26,Acromyrmex_coronatus_CASENT0744365_processed,2,2663,0.2603382468223572
26,Solenopsis_invicta_CASENT0744384_processed,2,616,0.06022093817591667
26,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3058,0.29895395040512085
26,Acromyrmex_coronatus_CASENT0744365_processed,3,3170,0.30990320444107056
26,Solenopsis_invicta_CASENT0744384_processed,3,820,0.08016423881053925
26,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4137,0.4044383466243744
