iteration,specimen,k,n_touched,coverage_fraction
21,Acromyrmex_coronatus_CASENT0744365_processed,3,5201,0.5084563493728638
21,Solenopsis_invicta_CASENT0744384_processed,3,1353,0.13227099180221558
21,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4787,0.4679831862449646
21,Acromyrmex_coronatus_CASENT0744365_processed,5,6614,0.6465930342674255
21,Solenopsis_invicta_CASENT0744384_processed,5,1971,0.19268745183944702
22,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3041,0.29729199409484863
22,Acromyrmex_coronatus_CASENT0744365_processed,2,4260,0.4164629876613617
22,Solenopsis_invicta_CASENT0744384_processed,2,1039,0.10157395154237747
22,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3752,0.3668002784252167
22,Acromyrmex_coronatus_CASENT0744365_processed,3,5207,0.5090429186820984
22,Solenopsis_invicta_CASENT0744384_processed,3,1395,0.13637696206569672
22,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4780,0.46729883551597595
22,Acromyrmex_coronatus_CASENT0744365_processed,5,6648,0.6499168872833252
22,Solenopsis_invicta_CASENT0744384_processed,5,1992,0.1947404444217682
23,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3013,0.2945546805858612
23,Acromyrmex_coronatus_CASENT0744365_processed,2,4250,0.4154853820800781
23,Solenopsis_invicta_CASENT0744384_processed,2,1024,0.10010753571987152
23,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3731,0.3647472858428955
23,Acromyrmex_coronatus_CASENT0744365_processed,3,5200,0.5083585977554321
23,Solenopsis_invicta_CASENT0744384_processed,3,1375,0.13442173600196838
23,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4772,0.46651676297187805
23,Acromyrmex_coronatus_CASENT0744365_processed,5,6637,0.6488415002822876
23,Solenopsis_invicta_CASENT0744384_processed,5,1985,0.19405610859394073
24,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3035,0.2967054545879364
24,Acromyrmex_coronatus_CASENT0744365_processed,2,4278,0.41822269558906555
24,Solenopsis_invicta_CASENT0744384_processed,2,1021,0.09981425106525421
24,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3746,0.36621370911598206
24,Acromyrmex_coronatus_CASENT0744365_processed,3,5234,0.5116824507713318
24,Solenopsis_invicta_CASENT0744384_processed,3,1372,0.13412845134735107
24,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4790,0.4682764708995819
24,Acromyrmex_coronatus_CASENT0744365_processed,5,6685,0.6535340547561646
24,Solenopsis_invicta_CASENT0744384_processed,5,1978,0.19337178766727448
25,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3033,0.29650992155075073
25,Acromyrmex_coronatus_CASENT0744365_processed,2,4317,0.4220353960990906
25,Solenopsis_invicta_CASENT0744384_processed,2,997,0.09746798127889633
25,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3744,0.3660181760787964
25,Acromyrmex_coronatus_CASENT0744365_processed,3,5290,0.5171570777893066
25,Solenopsis_invicta_CASENT0744384_processed,3,1338,0.13080456852912903
25,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4790,0.4682764708995819
25,Acromyrmex_coronatus_CASENT0744365_processed,5,6733,0.6582266092300415
25,Solenopsis_invicta_CASENT0744384_processed,5,1956,0.19122102856636047
26,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3000,0.2932837903499603
26,Acromyrmex_coronatus_CASENT0744365_processed,2,4374,0.42760777473449707
26,Solenopsis_invicta_CASENT0744384_processed,2,1002,0.09795679152011871
26,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3716,0.36328086256980896
26,Acromyrmex_coronatus_CASENT0744365_processed,3,5316,0.5196988582611084
26,Solenopsis_invicta_CASENT0744384_processed,3,1341,0.13109785318374634
26,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4767,0.4660279452800751
26,Acromyrmex_coronatus_CASENT0744365_processed,5,6737,0.6586176156997681
26,Solenopsis_invicta_CASENT0744384_processed,5,1970,0.1925896853208542
27,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2982,0.29152408242225647
27,Acromyrmex_coronatus_CASENT0744365_processed,2,4321,0.4224264323711395
27,Solenopsis_invicta_CASENT0744384_processed,2,1007,0.0984455943107605
27,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3691,0.36083683371543884
27,Acromyrmex_coronatus_CASENT0744365_processed,3,5204,0.5087496042251587
27,Solenopsis_invicta_CASENT0744384_processed,3,1348,0.1317821890115738
27,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4717,0.46113988757133484
27,Acromyrmex_coronatus_CASENT0744365_processed,5,6623,0.6474728584289551
27,Solenopsis_invicta_CASENT0744384_processed,5,1980,0.19356730580329895
28,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3012,0.29445692896842957
28,Acromyrmex_coronatus_CASENT0744365_processed,2,4355,0.4257503151893616
28,Solenopsis_invicta_CASENT0744384_processed,2,1007,0.0984455943107605
28,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3710,0.36269429326057434
28,Acromyrmex_coronatus_CASENT0744365_processed,3,5225,0.5108026266098022
28,Solenopsis_invicta_CASENT0744384_processed,3,1343,0.131293386220932
28,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4719,0.4613354206085205
28,Acromyrmex_coronatus_CASENT0744365_processed,5,6635,0.6486459970474243
28,Solenopsis_invicta_CASENT0744384_processed,5,1971,0.19268745183944702
29,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3032,0.2964121699333191
29,Acromyrmex_coronatus_CASENT0744365_processed,2,4394,0.4295629858970642
29,Solenopsis_invicta_CASENT0744384_processed,2,1009,0.09864111989736557
