label,source,genus,species,subfamily,ecology,asym_median,log_size,attach_b_a_1,seg_b_a_1,seg_b_a_2,seg_b_a_3,seg_b_a_4,head_wid,head_len,head_hei,mesosoma_wid,mesosoma_len,mesosoma_hei,gaster_wid,gaster_len,gaster_hei,attach_l_1_co,seg_l_1_co,seg_l_1_tr,seg_l_1_fe,attach_l_2_co,seg_l_2_co,seg_l_2_tr,seg_l_2_fe,attach_l_3_co,seg_l_3_co,seg_l_3_tr,seg_l_3_fe,attach_ma,attach_an_1,seg_an_1,seg_an_2,mandible_wid,mandible_len,mandible_hei,leaflen_ma,shapedev_gaster,shapedev_head,shapedev_mesosoma,shapedev_mandible
Heteroponera_flava_CASENT0744120_processed.obj,worker,heteroponera,heteroponera_flava,,,0.04609,-1.25304,0.422740,0.101833,0.167364,0.767843,0.263794,0.353473,0.372363,0.290024,0.285150,0.431714,0.268032,0.238967,1.084578,0.348802,0.164186,0.159607,0.410744,0.409875,0.296791,0.102329,0.442739,0.531762,0.407668,0.142748,0.542012,0.718757,0.288479,0.364260,0.390294,0.367126,0.070124,0.090914,0.165086,0.167003,0.461809,0.168302,0.247154,0.419859
Heteroponera_panamensis_CASENT0744055_processed.obj,worker,heteroponera,heteroponera_panamensis,,,0.08709,-1.07227,0.471564,0.149360,0.224170,0.190355,0.485771,0.452732,0.434496,0.343826,0.359785,0.470264,0.358814,0.467125,1.163467,0.243829,0.208246,0.194757,0.441183,0.374088,0.400352,0.130198,0.524465,0.666390,0.502937,0.138348,0.627423,0.876970,0.341485,0.436420,0.413578,0.418720,0.114170,0.151195,0.298779,0.297473,0.398122,0.146066,0.304634,0.336041
Holcoponera_relicta_CASENT0744313_processed.obj,worker,holcoponera,holcoponera_relicta,,,0.04873,-1.11906,0.510111,0.118002,0.224707,0.294061,0.108255,0.400024,0.431220,0.353392,0.344217,0.462737,0.331209,0.411163,0.801674,0.366844,0.135927,0.305431,0.385308,0.392492,0.355557,0.189192,0.499767,0.283607,0.436631,0.119125,0.465586,0.457801,0.334836,0.402723,0.452581,0.619341,0.140772,0.291742,0.412833,0.420099,0.502839,0.214850,0.274511,0.350765
Holcoponera_striatula_CASENT0744117_processed.obj,worker,holcoponera,holcoponera_striatula,,,0.03955,-1.21496,0.447181,0.095459,0.133424,0.326872,0.298238,0.294423,0.338599,0.281212,0.279513,0.430078,0.248541,0.407214,0.747592,0.477615,0.189266,0.160405,0.445123,0.425642,0.318165,0.092030,0.507565,0.403768,0.405126,0.083621,0.478858,0.465276,0.237951,0.254581,0.358797,0.547274,0.150485,0.175193,0.454604,0.456996,0.265463,0.216350,0.201192,0.241930
Holcoponera_striatula_CASENT0744358_processed.obj,worker,holcoponera,holcoponera_striatula,,,0.08419,-1.09087,0.349859,0.031060,0.065656,0.258067,0.198381,0.384761,0.658064,0.425827,0.240507,0.466884,0.291885,0.497538,0.495918,0.528180,0.100873,0.366603,0.439846,0.303349,0.340999,0.228444,0.687711,0.623921,0.421988,0.381221,0.728380,0.713293,0.491558,0.574702,0.286170,0.491098,0.194660,0.206236,0.458281,0.460706,0.397958,0.343058,0.242422,0.289481
Hylomyrma_cf.blandiens_CASENT0744010_processed.obj,worker,hylomyrma,hylomyrma_blandiens,,,0.04950,-1.11516,0.344225,0.164367,0.336570,0.383577,0.284897,0.385922,0.512737,0.314320,0.231063,0.383837,0.196419,0.438386,0.810569,0.580999,0.177028,0.139642,0.488399,0.410361,0.292995,0.137794,0.386076,0.489916,0.372064,0.152272,0.621060,0.631816,0.287865,0.409038,0.346721,0.528476,0.176520,0.119646,0.437613,0.437502,0.428287,0.212372,0.211574,0.360516
Hylomyrma_immanis_CASENT0744021_processed.obj,worker,hylomyrma,hylomyrma_immanis,,,0.05674,-1.11376,0.389149,0.157973,0.324286,0.314504,0.312391,0.360287,0.348618,0.266079,0.299764,0.441029,0.282736,0.428645,0.743661,0.552302,0.128464,0.211129,0.383160,0.200246,0.290689,0.155426,0.579948,0.501812,0.382217,0.161822,0.668177,0.695669,0.254143,0.282205,0.440952,0.469047,0.214909,0.126653,0.511599,0.511890,0.346986,0.132298,0.231839,0.346466
Hypoponera_coeca_CASENT0744951_processed.obj,worker,hypoponera,hypoponera_coeca,Ponerinae,,0.08470,-1.23547,0.430979,0.111131,0.129194,0.352228,0.365919,0.398966,0.525888,0.311823,0.163472,0.432073,0.161570,0.265772,0.812005,0.268213,0.142152,0.225618,0.369517,0.424223,0.332362,0.174655,0.526886,0.503729,0.398741,0.104170,0.478067,0.521429,0.429715,0.414389,0.389896,0.620770,0.070095,0.115593,0.240504,0.246198,0.386340,0.170097,0.123375,0.320321
Hypoponera_foreli_CASENT0744356_processed.obj,worker,hypoponera,hypoponera_foreli,Ponerinae,,0.06931,-1.18527,0.529531,0.096364,0.006233,0.218372,0.184181,0.423857,0.413246,0.328145,0.333682,0.446340,0.332901,0.355362,0.344978,0.418148,0.144393,0.230490,0.600105,0.353151,0.365361,0.227335,0.667994,0.605124,0.448938,0.221812,0.660303,0.592530,0.324692,0.360293,0.435718,0.600653,0.153139,0.183473,0.459428,0.462199,0.594756,0.140098,0.283787,0.285947
Hypoponera_opacior_CASENT0878019_processed.obj,worker,hypoponera,hypoponera_opacior,Ponerinae,,0.06103,-1.09460,0.408618,0.089592,0.142788,0.627483,0.419525,0.310745,0.390765,0.266233,0.259020,0.407587,0.276171,0.395332,1.006679,0.604367,0.145741,0.230891,0.729590,0.503294,0.324649,0.116963,0.337858,0.484120,0.401660,0.141667,0.509802,0.423412,0.296596,0.366784,0.338052,0.529182,0.146564,0.259913,0.560495,0.562415,0.360941,0.188392,0.221136,0.310755
Hypoponera_opacior_CASENT0878068_processed.obj,worker,hypoponera,hypoponera_opacior,Ponerinae,,0.04410,-1.10239,0.478623,0.056295,0.171756,0.253849,0.452480,0.398550,0.498711,0.369675,0.343810,0.456705,0.337052,0.369071,1.105899,0.131191,0.134950,0.127927,0.538913,0.463392,0.353641,0.161355,0.536093,0.399461,0.400099,0.100467,0.504632,0.673550,0.381646,0.470759,0.497776,0.548509,0.198482,0.247887,0.521456,0.525937,0.419646,0.174320,0.278700,0.307280
Hypoponera_opacior_CASENT0878069_processed.obj,worker,hypoponera,hypoponera_opacior,Ponerinae,,0.03307,-1.29471,0.513785,0.080104,0.062716,0.173837,0.322034,0.357007,0.441918,0.254598,0.241837,0.496651,0.227283,0.242470,0.575289,0.299697,0.182127,0.180782,0.354844,0.317812,0.217226,0.346715,0.556290,0.626610,0.411110,0.190510,0.553271,0.371747,0.375238,0.362370,0.331368,0.449825,0.065492,0.115104,0.216638,0.221535,0.351451,0.166562,0.137215,0.343106
Hypoponera_opacior_CASENT0878070_processed.obj,worker,hypoponera,hypoponera_opacior,Ponerinae,,0.04958,-1.26601,0.343879,0.088155,0.144079,0.432907,0.283108,0.289824,0.324420,0.262921,0.244890,0.412193,0.242610,0.355255,0.804683,0.384117,0.128142,0.186715,0.468086,0.423015,0.279315,0.137020,0.467340,0.537963,0.351849,0.085109,0.350393,0.356512,0.264152,0.356542,0.282709,0.579576,0.170155,0.082519,0.392148,0.392372,0.189693,0.181249,0.179044,0.367983
