name,radial_med,radial_p90,yaw_deg,in_bench50,keep_top50,keep_top25
Neivamyrmex_aff.pacificus_CASENT0744549_processed.obj,0.1924414596496692,0.4031642365860748,2.3186743127689278,False,True,True
Myrmica_kotokui_OKENT0105275_processed.obj,0.192469283373245,0.3266436387608932,0.9148914917232104,False,True,True
Strumigenys_kumadori_OKENT0105283_processed.obj,0.1928816575703353,0.36173369157388,2.377449086446817,False,True,True
Nomamyrmex_esenbeckii_CASENT0744589_processed.obj,0.1930480021532412,0.336833255548761,89.07163748997283,False,True,True
Fulakora_armigera_CASENT0744229_processed.obj,0.1932249216734974,0.3290922983642639,3.428861208330241,False,True,True
Strumigenys_zeteki_CASENT0744209_processed.obj,0.193727012458598,0.3008667567279113,0.9748248519169976,False,True,True
Cryptopone_sauteri_OKENT0105281_processed.obj,0.1937663862707384,0.3468217978347824,0.0422616251971364,False,True,True
Goniomma_hispanicum_CASENT0745173_processed.obj,0.1939788200089829,0.4495213648679416,4.400135389181381,False,True,True
Aphaenogaster_subterranea_CASENT0745050_processed.obj,0.1940719667271829,0.4135575664468695,7.371331174764599,False,True,True
Tapinoma_nigerrimum_CASENT0745201_processed.obj,0.1945630752982823,0.3729159432213081,0.4515826914407411,False,True,True
Dorylus_nigricans_molestus_CASENT0744684_processed.obj,0.1949870959038433,0.360925600334975,1.3936395418228331,False,True,True
Strongylognathus_testaceus_CASENT0745198_processed.obj,0.1952191464406563,0.3333166084762268,3.3692352620043398,False,True,True
Pheidole_parva_OKENT0105133_processed.obj,0.1952685088915444,0.312926295441729,1.0886668082727915,False,True,True
Crematogaster_sp._CASENT0877556_processed.obj,0.1953893028557489,0.3651576646481381,1.2282364591481825,False,True,True
Euponera_brunoi_CASENT0744938_processed.obj,0.1954548984686305,0.374818530847545,0.7066587724815617,False,True,True
Dorylus_sp._CASENT0744699_processed.obj,0.1955021641440336,0.3670701420270707,0.2284547265891298,False,True,True
Aenictus_afrc-gh01_CASENT0744679_processed.obj,0.1956355668385148,0.4240892782724907,2.832784280195682,False,True,False
Terataner_luteus_CASENT0744901_processed.obj,0.1957439691492524,0.3737050097789891,4.957933522794105,False,True,False
Messor_striatifrons_CASENT0744833_processed.obj,0.1960749379350428,0.4215926716570332,2.1527247735426114,False,True,False
Streblognathus_peetersi_CASENT0744988_processed.obj,0.1964664968851825,0.3578457978198431,0.1892721049831728,False,True,False
Technomyrmex_andrei_CASENT0745548_processed.obj,0.1967281971301009,0.3668590912939727,5.437820007632071,False,True,False
Formica_sanguinea_CASENT0878137_processed.obj,0.1968649533262697,0.4547436628641214,1.545091108569504,False,True,False
Leptogenys_gaigei_CASENT0878113_processed.obj,0.1971470220248877,0.3818889405962917,0.2109193999628454,False,True,False
Iridomyrmex_anceps_CASENT0878091_processed.obj,0.1973193963107558,0.3710652696114003,0.8194096152867213,False,True,False
Polyergus_rufescens_CASENT0878121_processed.obj,0.1973414134770532,0.5299053802152883,1.158625547057673,False,True,False
Formica_lemani_OKENT0105351_processed.obj,0.1974266523684097,0.3631226646894624,2.2343186666198496,False,True,False
Lasius_nr._fuliginosus_CASENT0878037_processed.obj,0.1979432844114589,0.341147262679186,0.7328699836016374,True,True,False
Pheidole_gertrudae_CASENT0744265_processed.obj,0.1980785648585316,0.4186388155180056,0.1147835169829513,False,True,False
Neoponera_obscuricornis_CASENT0744592_processed.obj,0.19824358423119,0.3987162260123797,0.4528963564528423,False,True,False
