name,radial_med,radial_p90,yaw_deg,in_bench50
Terataner_luteus_CASENT0744901_processed.obj,0.19574396914925246,0.37370500977898913,4.957933522794105,False
Messor_striatifrons_CASENT0744833_processed.obj,0.19607493793504283,0.42159267165703324,2.1527247735426114,False
Streblognathus_peetersi_CASENT0744988_processed.obj,0.19646649688518253,0.35784579781984316,0.18927210498317282,False
Technomyrmex_andrei_CASENT0745548_processed.obj,0.19672819713010098,0.3668590912939727,5.437820007632071,False
Formica_sanguinea_CASENT0878137_processed.obj,0.19686495332626971,0.4547436628641214,1.545091108569504,False
Leptogenys_gaigei_CASENT0878113_processed.obj,0.19714702202488776,0.3818889405962917,0.21091939996284545,False
Iridomyrmex_anceps_CASENT0878091_processed.obj,0.19731939631075587,0.37106526961140035,0.8194096152867213,False
Polyergus_rufescens_CASENT0878121_processed.obj,0.1973414134770532,0.5299053802152883,1.158625547057673,False
Formica_lemani_OKENT0105351_processed.obj,0.19742665236840978,0.3631226646894624,2.2343186666198496,False
Lasius_nr._fuliginosus_CASENT0878037_processed.obj,0.19794328441145898,0.34114726267918605,0.7328699836016374,True
Pheidole_gertrudae_CASENT0744265_processed.obj,0.1980785648585316,0.4186388155180056,0.11478351698295138,False
Neoponera_obscuricornis_CASENT0744592_processed.obj,0.19824358423119004,0.3987162260123797,0.4528963564528423,False
Typhlomyrmex_rogenhoferi_CASENT0745146_processed.obj,0.1982723350877065,0.3917694865476978,0.61943236809449,False
Manica_yessensis_OKENT0105371_processed.obj,0.19839529962760516,0.38770473918230086,6.182212503502479,False
Bothriomyrmex_corsicus_CASENT0745215_processed.obj,0.1987682164356564,0.3828959484105973,6.884081288713059,False
Pheidole_pieli_OKENT0105142_processed.obj,0.19877671346416348,0.4180870360338849,3.981469537673039,False
Dorylus_afrc-gh01_CASENT0744687_processed.obj,0.198834704082703,0.3283283890693987,1.3172562832657824,False
Holcoponera_striatula_CASENT0744117_processed.obj,0.19885396081595053,0.35463926467715157,0.0814381261966699,False
Megaponera_analis_CASENT0745092_processed.obj,0.19908287758147689,0.33464858064086106,0.468124057670193,False
Rasopone_ferruginea_CASENT0744068_processed.obj,0.1992583277918612,0.3362738833251676,0.18835956991959119,False
Camponotus_hyatti_CASENT0741281_processed.obj,0.19930842265846826,0.2672904922498968,0.08562772209864247,False
Carebara_diversa_CASENT0745681_processed.obj,0.19959109885043175,0.5326519284578153,0.025002309033323462,False
Crematogaster_stollii_CASENT0744210_processed.obj,0.19983168157504125,0.35498212865246437,0.1602636806929605,False
Bothriomyrmex_meridionalis_CASENT0745153_processed.obj,0.20003478493214777,0.3538648551791643,0.019645930411214776,False
Pheidole_midas_CASENT0744257_processed.obj,0.2000643502280646,0.46403788759533937,1.207101665887781,False
Pheidole_megacephala_CASENT0744847_processed.obj,0.20007131371257098,0.36117893083655245,0.7728400562836306,False
Ocymyrmex_sp._CASENT0744844_processed.obj,0.200292437569226,0.3979051728325246,0.7123334272626408,False
Temnothorax_sp._OKENT0105336_processed.obj,0.20043453685917184,0.3247887203254953,0.11824620329210472,True
Parasyscia_sp._cribrinodis_group_CASENT0709293_processed.obj,0.2006482080970775,0.3024917501961205,1.2165738057786755,False
Euponera_brunoi_CASENT0744943_processed.obj,0.20077037540805667,0.3182105608471205,2.474177799936982,False
Lordomyrma_idianale_CASENT0745651_processed.obj,0.2008121786444356,0.38317072249948203,0.31495415752441625,False
Platythyrea_MG01_CASENT0840864-D4_processed.obj,0.20124175226711494,0.3633008639582922,0.1606888516405034,False
Tetramorium_semilaeve_CASENT0745233_processed.obj,0.20136463053581832,0.3731926072369024,2.3230507479425104,False
Cerapachys_sulcinodis_CASENT0745634_processed.obj,0.2017699193608336,0.3659539566702238,8.521078146188978,False
Carebara_trechideros_CASENT0877591_processed.obj,0.20216454067325745,0.44641612293779886,18.270497959444114,True
Camponotus_brutus_CASENT0744737_processed.obj,0.20230286439190515,0.32800066275738426,1.2808073237453215,False
Ectatomma_edentatum_CASENT0744559_processed.obj,0.20238413573844494,0.36946585855609926,0.3676363307883935,False
Colobopsis_sp._CASENT0877571_processed.obj,0.2026412947156007,0.3365084606202717,4.636318263194551,False
Odontomachus_meinerti_CASENT0744112_processed.obj,0.2030444767596461,0.4396434987490442,3.1605461417959746,False
Eciton_rapax_CASENT0744623_processed.obj,0.20304483457861042,0.42040399940241463,2.960580451714327,False
Tetramorium_simillimum_CASENT0744205_processed.obj,0.20330519308435335,0.38771648774455914,0.4951656903908717,False
Camponotus_sp._CASENT0744035_processed.obj,0.20381525277404133,0.34325345813909103,6.234668347523343,False
Cardiocondyla_afrc-za02_CASENT0744788_processed.obj,0.2038744226820781,0.34128238992207793,4.568365781188155,False
Trichomyrmex_emeryi_CASENT0744918_processed.obj,0.20395545208836172,0.5869460120372575,1.315057352819254,False
Ponera_scabra_OKENT0105293_processed.obj,0.20414659632463772,0.37543595217215187,0.4001516256506912,False
Parasyscia_sp._CASENT0744709_processed.obj,0.20446430537228702,0.3753786579729494,0.3821072622357146,False
Solenopsis_invicta_OKENT0105176_processed.obj,0.20459951757982991,0.4497649869277815,0.07249427451763196,False
Acromyrmex_echinatior_CASENT0745012_processed.obj,0.20548744899180138,0.3257770664336628,6.905780661591647,False
Pheidole_tumida_CASENT0744092_processed.obj,0.20588321858472475,0.2852483532842396,0.34740010973233,False
Cylindromyrmex_brasiliensis_CASENT0744218_processed.obj,0.20604234536843508,0.3495258617869948,6.711997315477154,False
Ooceraea_biroi_CASENT0741392_processed.obj,0.2061226384129466,0.3980783216073416,3.87651981792599,False
Messor_striatifrons_CASENT0744834_processed.obj,0.20626969524744515,0.41805048086065155,0.028161202198519822,False
Tetramorium_pullulum_CASENT0745590_processed.obj,0.20652277592306661,0.32275916076997896,0.7616704839041878,False
Goniomma_hispanicum_CASENT0745171_processed.obj,0.2072820657251864,0.4265787347765939,1.9618089503242568,False
Neoponera_villosa_CASENT0744613_processed.obj,0.2080837966757263,0.32858797105608173,0.17809529795887544,False
Lasius_spathepus_OKENT0105325_processed.obj,0.2086541042746258,0.4881960699314879,6.316733299005144,False
Terataner_luteus_CASENT0744902_processed.obj,0.20910209114043038,0.4041675576600354,0.8027755779916899,False
Cephalotes_betoi_CASENT0744448_processed.obj,0.20911856162849882,0.3202023733061811,2.3787965242652738,False
Strumigenys_subedentata_CASENT0744346_processed.obj,0.20927116246931388,0.3669625402556881,1.0117785195485607,False
Formica_cf.fusca_CASENT0878139_processed.obj,0.20987518759024287,0.46094326606350544,1.6859584926038622,False
Ponera_scabra_OKENT0105294_processed.obj,0.20988046187331796,0.387405579725208,0.3720508886385353,False
Crematogaster_cf.levior_CASENT0744377_processed.obj,0.2098895549634935,0.35455613647579903,6.772568535252224,False
