arm,metric,control,arm_val,rel,wins,n,p
A3_priors,edge_logratio_absmean,0.585228705406189,0.5364146560430527,-8.341021025134534,45,50,4.209852022540872e-09
A3_priors,tri_quality_mean,0.6461913955211639,0.6320977580547332,-2.1810314349732414,11,50,9.021490107130603e-05
A3_priors,deform_mag_mean,0.05210933651775118,0.05528186898678537,6.088222727404275,12,50,0.00030586400160359517
A3_priors,deform_mag_p95,0.11934373617172238,0.12596052363514898,5.544310640526903,17,50,0.032839137564268484
A3_priors,midline_dev_mean,0.0369353748299181,0.03961788939312096,7.262724625058813,22,50,0.47988766169832786
A3_priors,part_leg_distal_dist_mean,0.009220938170328688,0.009140189029276317,-0.875715025434721,21,50,0.3222363203575469
A4_nofreeze,chamfer_l2,0.0024823476630262483,0.002476482725469344,-0.23626575930108912,28,50,0.47988766169832786
A4_nofreeze,fscore@0.01,0.2726381371170282,0.27227899253368376,-0.1317294004209631,23,50,0.6718110337653656
A4_nofreeze,fscore@0.02,0.5616250535845757,0.563104496896267,0.26342188658537613,30,50,0.20263875106454066
A4_nofreeze,hausdorff_95,0.07721978776156899,0.07730155445635316,0.10588826666499425,23,50,0.6718110337653656
A4_nofreeze,normal_consistency,0.6894034993648529,0.6887136423587799,-0.10006578247827451,25,50,1.0
A4_nofreeze,edge_logratio_absmean,0.0,7.770887232305681e-14,7.770887232305681,0,50,1.7763568394002505e-15
A4_nofreeze,tri_quality_mean,0.7295354247093201,0.7316228806972503,0.28613497264497184,27,50,0.6718110337653656
A4_nofreeze,deform_mag_mean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A4_nofreeze,deform_mag_p95,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A4_nofreeze,midline_dev_mean,0.031235918123274996,0.03205878423526878,2.6343586531374927,23,50,0.6718110337653656
A4_nofreeze,part_leg_distal_dist_mean,0.04610030675306911,0.04830584401264782,4.784213847739827,17,50,0.032839137564268484
A4_nofreeze,chamfer_l2,0.00040320283180330394,0.00040322178771015594,0.004701332756075056,35,50,0.006600447966810918
