arm                      when   metric                       wins/n         p  P(verdict flips)  P(sig flips dir)
C0_control_s2            final  midline_dev_mean             23/50   6.72e-01   0.000 (determ.)                 -
E1_posebudget            pose   chamfer_l2                    1/50   9.06e-14             0.000             0.000
E1_posebudget            pose   fscore@0.01                   2/50   2.27e-12             0.000             0.000
E1_posebudget            pose   fscore@0.02                   2/50   2.27e-12             0.000             0.000
E1_posebudget            pose   hausdorff_95                  1/50   9.06e-14             0.000             0.000
E1_posebudget            pose   normal_consistency           11/50   9.02e-05             0.000             0.000
E1_posebudget            pose   part_leg_distal_dist_mean    41/50   5.61e-06             0.000             0.000
E1_posebudget            pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            pose   tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            pose   midline_dev_mean             27/50   6.72e-01   0.000 (determ.)                 -
E1_posebudget            final  chamfer_l2                    0/50   1.78e-15             0.000             0.000
E1_posebudget            final  fscore@0.01                   0/50   1.78e-15             0.000             0.000
E1_posebudget            final  fscore@0.02                   0/50   1.78e-15             0.000             0.000
E1_posebudget            final  hausdorff_95                  0/50   1.78e-15             0.000             0.000
E1_posebudget            final  normal_consistency            4/50   4.46e-10             0.000             0.000
E1_posebudget            final  part_leg_distal_dist_mean     0/50   1.78e-15             0.000             0.000
E1_posebudget            final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            final  tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
E1_posebudget            final  midline_dev_mean             31/50   1.19e-01   0.000 (determ.)                 -
E3_robust                pose   chamfer_l2                    0/50   1.78e-15             0.000             0.000
E3_robust                pose   fscore@0.01                   9/50   5.61e-06             0.000             0.000
E3_robust                pose   fscore@0.02                   3/50   3.71e-11             0.000             0.000
E3_robust                pose   hausdorff_95                  0/50   1.78e-15             0.000             0.000
E3_robust                pose   normal_consistency           12/50   3.06e-04             0.000             0.000
E3_robust                pose   part_leg_distal_dist_mean    40/50   2.39e-05             0.000             0.000
E3_robust                pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
E3_robust                pose   tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
E3_robust                pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
E3_robust                pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
E3_robust                pose   midline_dev_mean             13/50   9.36e-04   0.000 (determ.)                 -
E3_robust                final  chamfer_l2                    0/50   1.78e-15             0.000             0.000
E3_robust                final  fscore@0.01                   0/50   1.78e-15             0.000             0.000
E3_robust                final  fscore@0.02                   0/50   1.78e-15             0.000             0.000
E3_robust                final  hausdorff_95                  0/50   1.78e-15             0.000             0.000
E3_robust                final  normal_consistency            4/50   4.46e-10             0.000             0.000
E3_robust                final  part_leg_distal_dist_mean     7/50   2.10e-07             0.000             0.000
E3_robust                final  edge_logratio_absmean        50/50   1.78e-15   0.000 (determ.)                 -
E3_robust                final  tri_quality_mean             50/50   1.78e-15   0.000 (determ.)                 -
E3_robust                final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
E3_robust                final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
E3_robust                final  midline_dev_mean             19/50   1.19e-01   0.000 (determ.)                 -
M1_hier                  pose   chamfer_l2                    0/50   1.78e-15             0.000             0.000
M1_hier                  pose   fscore@0.01                   2/50   2.27e-12             0.000             0.000
M1_hier                  pose   fscore@0.02                   0/50   1.78e-15             0.000             0.000
M1_hier                  pose   hausdorff_95                  0/50   1.78e-15             0.000             0.000
M1_hier                  pose   normal_consistency           14/50   2.60e-03             0.000             0.000
M1_hier                  pose   part_leg_distal_dist_mean    10/50   2.39e-05             0.000             0.000
M1_hier                  pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
M1_hier                  pose   tri_quality_mean             49/50   9.06e-14   0.000 (determ.)                 -
M1_hier                  pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
M1_hier                  pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
M1_hier                  pose   midline_dev_mean             17/50   3.28e-02   0.000 (determ.)                 -
M1_hier                  final  chamfer_l2                    0/50   1.78e-15             0.000             0.000
M1_hier                  final  fscore@0.01                   0/50   1.78e-15             0.000             0.000
M1_hier                  final  fscore@0.02                   0/50   1.78e-15             0.000             0.000
M1_hier                  final  hausdorff_95                  0/50   1.78e-15             0.000             0.000
M1_hier                  final  normal_consistency            2/50   2.27e-12             0.000             0.000
