name,contact_frac,contact_pairs_per_pt,hull_fill,area_over_hullarea,radial_med,radial_p95_over_med,limb_area_frac,extent_along_axis
pheidole-barumtaum-major.obj,0.1616,0.2677,,0.4847660569932123,0.15896428091363077,2.7221404122659587,0.13315,1.7218486059975784
pheidole-caldwell-queen.obj,0.14245,0.19225,,0.5759261278553467,0.16784313050716296,2.36311975020054,0.09075,1.9082663755876608
pheidole-cervicornis-minor-worker.obj,0.17285,0.25815,,0.4203634270082793,0.14777459455418562,3.1526811772887844,0.24185,1.80213438305953
pheidole-drogon-minor-worker.obj,0.18075,0.31935,,0.3241397058891722,0.14940328829592894,3.393115533347421,0.32535,1.9120964963775124
plectroctena-strigosa.obj,0.17805,0.2561,,0.4680737154841211,0.15214209044777788,3.063818190238656,0.19335,1.8913389701842735
polyrhachis-bihamata.obj,0.1907,0.25735,,0.2898635002855338,0.15321438023865808,3.982504374439936,0.26475,2.0228981173541136
pristmyrmex.obj,0.19615,0.2173,,0.4234312660303674,0.188967346538621,3.3827540410984573,0.2496,1.9109771341657282
proatta.obj,0.1799,0.2245,,0.413152543130974,0.17611358118231007,3.224724034964761,0.2061,1.840062271846485
protanilla-lini.obj,0.2201,0.44065,,0.4099442929671704,0.1104670903378732,3.948396203567438,0.212,1.9025844198062893
santschiella-kohli.obj,0.1704,0.21015,,0.48355197837440783,0.15734205341910942,3.1202299609021016,0.16945,1.8813265176647769
simopone.obj,0.1521,0.2643,,0.6527057991163395,0.1215056729289584,2.2466840179724135,0.07565,1.9809610298518692
stigmatomma-liebe.obj,0.1924,0.31405,,0.5362223070617228,0.12893239389782107,2.833208860397579,0.1772,1.8608571175775936
streblognathus.obj,0.3273,0.66425,,0.48518347913168464,0.15207011693578876,3.034236578974503,0.21225,1.9242073878632002
strumigenys-oasis.obj,0.1322,0.17735,,0.6201170848786192,0.17804674908955587,2.691307373069782,0.09535,1.9570915098195854
tapinoma.obj,0.2146,0.3019,,0.4047360202874865,0.1491812909402459,3.7108720476600907,0.27695,1.9529367820355037
tatuidris.obj,0.1382,0.1372,,0.5804935884721603,0.2160759532394202,3.141221844242228,0.18225,1.9965489051544671
terataner-nymeria.obj,0.1637,0.2242,,0.5881430381576694,0.1587650555642702,2.583515744409465,0.15855,1.9675628015134023
tetraponera.obj,0.16745,0.26025,,0.43634800844486527,0.12833747880694202,3.4200269014378186,0.20715,1.9363890625484796
